latitude	longitude	altitude	geometry	rmcSite	rmcDrive	rmcPose	firstSol	lastSol	xCorrected	yCorrected
-14.5658281876601	175.4758369074859		Point	0	0	0	545	1911	-1432.26	-863385.06
-14.5658281876601	175.4758369074859		Point	0	0	1	1	1	-1432.26	-863385.06
-14.5658281876601	175.4758369074859		Point	1	0	0	2	2	-1432.26	-863385.06
-14.5658281876601	175.4758369074859		Point	2	0	2	3	6	-1432.26	-863385.06
-14.5658281876601	175.4758369074859		Point	2	3	0	6	6	-1432.26	-863385.06
-14.56582717542381	175.4758369074859		Point	2	11	0	7	8	-1432.26	-863385
-14.56582717542381	175.4758369074859		Point	2	11	10	8	10	-1432.26	-863385
-14.565822282948398	175.47583673877986		Point	2	14	0	10	10	-1432.27	-863384.71
-14.565822282948398	175.47583673877986		Point	2	34	0	11	11	-1432.27	-863384.71
-14.565822282948398	175.47583673877986		Point	2	39	0	12	12	-1432.27	-863384.71
-14.565801532104421	175.47579692415238		Point	3	9	13	13	14	-1434.63	-863383.48
-14.565801532104421	175.47579692415238		Point	3	9	33	14	15	-1434.63	-863383.48
-14.565799001513694	175.47578562084715		Point	3	13	0	15	15	-1435.3	-863383.33
-14.565827512835904	175.47578224672617		Point	3	27	12	17	17	-1435.5	-863385.02
-14.565827512835904	175.47578224672617		Point	3	27	105	34	35	-1435.5	-863385.02
-14.565827512835904	175.47578224672617		Point	3	27	165	35	36	-1435.5	-863385.02
-14.56580693069798	175.47578174060803		Point	3	29	0	36	36	-1435.53	-863383.8
-14.565884704186374	175.47584837949722		Point	3	73	0	37	37	-1431.58	-863388.41
-14.56578769820844	175.47609924539145		Point	4	0	8	39	39	-1416.71	-863382.66
-14.565594361076766	175.47645892668703		Point	5	6	0	40	41	-1395.39	-863371.2
-14.565594361076766	175.47645892668703		Point	5	6	8	41	41	-1395.39	-863371.2
-14.565595204607009	175.47645960151124		Point	5	14	34	42	43	-1395.35	-863371.25
-14.565595204607009	175.47645960151124		Point	5	14	53	43	43	-1395.35	-863371.25
-14.565303174436913	175.47672818154058		Point	7	0	27	44	44	-1379.43	-863353.94
-14.565020423099496	175.47693029138676		Point	8	0	28	45	45	-1367.45	-863337.18
-14.56477225650203	175.47716664856083		Point	9	0	22	46	46	-1353.44	-863322.47
-14.56477225650203	175.47716664856083		Point	9	0	49	47	47	-1353.44	-863322.47
-14.56477343744437	175.47716361185195		Point	9	167	44	48	48	-1353.62	-863322.54
-14.56477343744437	175.47716361185195		Point	9	167	68	49	50	-1353.62	-863322.54
