latitude	longitude,altitude,geometry,rmcSite,rmcDrive,rmcPose,firstSol,lastSol,xCorrected,yCorrected
-14.5658281876601,175.4758369074859,,Point,1,0,0,2,2,-1432.26,-863385.06
-14.5658281876601,175.4758369074859,,Point,2,0,0,2,2,-1432.26,-863385.06
-14.565801532104421,175.47579692415238,,Point,3,0,0,-1,-1,-1434.63,-863383.48
-14.56578769820844,175.47609924539145,,Point,4,0,0,37,39,-1416.71,-863382.66
-14.565607520148554,175.4764501539725,,Point,5,0,0,39,40,-1395.91,-863371.98
-14.565403554535818,175.4766168355485,,Point,6,0,0,43,43,-1386.03,-863359.89
-14.565303174436913,175.47672818154058,,Point,7,0,0,43,44,-1379.43,-863353.94
-14.565020423099496,175.47693029138676,,Point,8,0,0,44,45,-1367.45,-863337.18
-14.56477225650203,175.47716664856083,,Point,9,0,0,45,46,-1353.44,-863322.47
-14.564595283857068,175.47732894377958,,Point,10,0,0,50,51,-1343.82,-863311.98
-14.564258715290148,175.47760579040528,,Point,11,0,0,51,52,-1327.41,-863292.03
-14.563843529704592,175.47798689736902,,Point,12,0,0,61,62,-1304.82,-863267.42
-14.563605485470044,175.47826796164597,,Point,13,0,0,62,63,-1288.16,-863253.31
-14.563283594329349,175.4787084531388,,Point,14,0,0,63,64,-1262.05,-863234.23
-14.563097174145668,175.47897517740162,,Point,15,0,0,64,65,-1246.24,-863223.18
-14.562832474355444,175.47926113415397,,Point,16,0,0,65,66,-1229.29,-863207.49
-14.562612144255995,175.4794011601743,,Point,17,0,0,66,67,-1220.99,-863194.43
-14.562564906562393,175.47956564857165,,Point,18,0,0,67,70,-1211.24,-863191.63
-14.562858792499023,175.4795713845773,,Point,19,0,0,71,72,-1210.9,-863209.05
-14.562841753188115,175.47960040201764,,Point,20,0,0,72,73,-1209.18,-863208.04
-14.563175116340112,175.47997779744836,,Point,21,0,0,74,75,-1186.81,-863227.8
-14.563244285820032,175.48032634414471,,Point,22,0,0,75,76,-1166.15,-863231.9
-14.563488909590474,175.48014076749126,,Point,23,0,0,87,88,-1177.15,-863246.4
-14.56372695382502,175.4800324582081,,Point,24,0,0,88,89,-1183.57,-863260.51
-14.564173518735616,175.48046603275293,,Point,25,0,0,89,90,-1157.87,-863286.98
-14.564278116485736,175.48071706735323,,Point,26,0,0,90,91,-1142.99,-863293.18
-14.564299710859952,175.48074220455445,,Point,27,0,0,91,93,-1141.5,-863294.46
-14.564816626192806,175.48168392171763,,Point,28,0,0,100,101,-1085.68,-863325.1
-14.565570573523917,175.48268536082202,,Point,29,0,0,101,103,-1026.32,-863369.79
-14.56642372001159,175.4834033737648,,Point,30,0,0,103,105,-983.76,-863420.36
-14.566793523670082,175.4840046421219,,Point,31,0,0,105,107,-948.12,-863442.28
-14.566931862629916,175.48509448319575,,Point,32,0,0,107,108,-883.52,-863450.48
-14.56686471762258,175.48539764796504,,Point,33,0,0,108,109,-865.55,-863446.5
