Sol	Hybrid Local Solar Time	SCLK	UTC	Solar longitude (deg)	Solar azimuth (deg)	Solar elevation (deg)	Sun distance (AU)
1	0001:12:11:04	128274081	2004-01-25 03.40.08	339,07	6,77	83,23	1,5056
2	0002:12:10:57	128362849	2004-01-26 04.19.36	339,62	6,55	83,45	1,5069
3	0003:12:10:49	128451616	2004-01-27 04.59.04	340,17	6,33	83,67	1,5083
4	0004:12:10:41	128540383	2004-01-28 05.38.30	340,71	6,11	83,89	1,5096
5	0005:12:10:33	128629150	2004-01-29 06.17.58	341,26	5,89	84,11	1,5110
6	0006:12:10:24	128717916	2004-01-30 06.57.23	341,80	5,67	84,33	1,5123
7	0007:12:10:15	128806682	2004-01-31 07.36.50	342,35	5,44	84,56	1,5137
8	0008:12:10:06	128895447	2004-02-01 08.16.15	342,89	5,22	84,78	1,5150
9	0009:12:09:56	128984213	2004-02-02 08.55.40	343,43	5,00	85,00	1,5164
10	0010:12:09:46	129072978	2004-02-03 09.35.05	343,97	4,78	85,22	1,5177
11	0011:12:09:36	129161742	2004-02-04 10.14.30	344,51	4,55	85,45	1,5190
12	0012:12:09:24	129250500	2004-02-05 10.53.53	345,05	4,33	85,67	1,5204
13	0013:12:09:14	129339263	2004-02-06 11.33.18	345,59	4,11	85,89	1,5217
14	0014:12:09:02	129428026	2004-02-07 12.12.41	346,13	3,89	86,11	1,5231
15	0015:12:08:51	129516789	2004-02-08 12.52.05	346,66	3,66	86,34	1,5244
16	0016:12:08:38	129605551	2004-02-09 13.31.27	347,20	3,44	86,56	1,5257
17	0017:12:08:27	129694312	2004-02-10 14.10.51	347,73	3,22	86,78	1,5271
18	0018:12:08:15	129783074	2004-02-11 14.50.13	348,27	2,99	87,01	1,5284
19	0019:12:08:01	129871835	2004-02-12 15.29.35	348,80	2,77	87,23	1,5297
20	0020:12:07:49	129960597	2004-02-13 16.08.57	349,33	2,55	87,45	1,5311
21	0021:12:07:35	130049359	2004-02-14 16.48.19	349,86	2,33	87,67	1,5324
22	0022:12:07:22	130138119	2004-02-15 17.27.40	350,39	2,10	87,90	1,5337
23	0023:12:07:07	130226879	2004-02-16 18.07.00	350,92	1,88	88,12	1,5351
24	0024:12:06:53	130315640	2004-02-17 18.46.21	351,45	1,66	88,34	1,5364
25	0025:12:06:39	130404400	2004-02-18 19.25.42	351,97	1,44	88,56	1,5377
26	0026:12:06:24	130493160	2004-02-19 20.05.02	352,50	1,21	88,79	1,5390
27	0027:12:06:09	130581919	2004-02-20 20.44.22	353,02	0,99	89,01	1,5403
28	0028:12:05:54	130670678	2004-02-21 21.23.41	353,55	0,77	89,23	1,5417
29	0029:12:05:39	130759437	2004-02-22 22.03.01	354,07	0,55	89,45	1,5430
30	0030:12:05:23	130848196	2004-02-23 22.42.20	354,59	0,33	89,67	1,5443
31	0031:12:05:08	130936954	2004-02-24 23.21.39	355,11	0,11	89,89	1,5456
32	0032:12:04:51	131025712	2004-02-26 00.00.58	355,63	0,11	89,89	1,5469
33	0033:12:04:35	131114471	2004-02-27 00.40.16	356,15	0,34	89,66	1,5482
34	0034:12:04:18	131203229	2004-02-28 01.19.34	356,67	0,56	89,44	1,5495
35	0035:12:04:02	131291986	2004-02-29 01.58.53	357,19	0,78	89,22	1,5508
36	0036:12:03:45	131380744	2004-03-01 02.38.11	357,71	1,00	89,00	1,5521
37	0037:12:03:28	131469501	2004-03-02 03.17.28	358,22	1,22	88,78	1,5533
38	0038:12:03:10	131558258	2004-03-03 03.56.46	358,74	1,43	88,57	1,5546
39	0039:12:02:53	131647014	2004-03-04 04.36.03	359,25	1,65	88,35	1,5559
40	0040:12:02:36	131735771	2004-03-05 05.15.20	359,77	1,87	88,13	1,5572
41	0041:12:02:18	131824531	2004-03-06 05.54.38	0,28	2,09	87,91	1,5585
42	0042:12:02:00	131913287	2004-03-07 06.33.54	0,79	2,31	87,69	1,5597
43	0043:12:01:41	132002043	2004-03-08 07.13.10	1,30	2,53	87,47	1,5610
44	0044:12:01:23	132090799	2004-03-09 07.52.26	1,81	2,74	87,26	1,5622
45	0045:12:01:04	132179554	2004-03-10 08.31.43	2,32	2,96	87,04	1,5635
46	0046:12:00:46	132268311	2004-03-11 09.10.59	2,83	3,18	86,82	1,5647
47	0047:12:00:27	132357066	2004-03-12 09.50.15	3,34	3,39	86,61	1,5660
48	0048:12:00:08	132445822	2004-03-13 10.29.31	3,85	3,61	86,39	1,5672
49	0049:11:59:48	132534577	2004-03-14 11.08.46	4,35	3,82	86,18	1,5685
50	0050:11:59:30	132623331	2004-03-15 11.48.02	4,86	4,04	85,96	1,5697
51	0051:11:59:11	132712087	2004-03-16 12.27.17	5,36	4,25	85,75	1,5709
52	0052:11:58:50	132800841	2004-03-17 13.06.32	5,86	4,46	85,54	1,5722
53	0053:11:58:31	132889597	2004-03-18 13.45.47	6,37	4,68	85,32	1,5734
54	0054:11:58:11	132978351	2004-03-19 14.25.02	6,87	4,89	85,11	1,5746
55	0055:11:57:51	133067105	2004-03-20 15.04.16	7,37	5,10	84,90	1,5758
56	0056:11:57:31	133155860	2004-03-21 15.43.32	7,87	5,31	84,69	1,5770
57	0057:11:57:11	133244613	2004-03-22 16.22.46	8,37	5,53	84,47	1,5782
58	0058:11:56:50	133333367	2004-03-23 17.02.00	8,87	5,74	84,26	1,5794
59	0059:11:56:30	133422122	2004-03-24 17.41.14	9,37	5,95	84,05	1,5806
60	0060:11:56:10	133510875	2004-03-25 18.20.29	9,87	6,16	83,84	1,5817
61	0061:11:55:49	133599628	2004-03-26 18.59.43	10,36	6,36	83,64	1,5829
62	0062:11:55:28	133688383	2004-03-27 19.38.56	10,86	6,57	83,43	1,5841
63	0063:11:55:07	133777136	2004-03-28 20.18.10	11,36	6,78	83,22	1,5853
64	0064:11:54:46	133865889	2004-03-29 20.57.23	11,85	6,99	83,01	1,5864
65	0065:11:54:25	133954643	2004-03-30 21.36.38	12,35	7,19	82,81	1,5876
66	0066:11:54:04	134043396	2004-03-31 22.15.51	12,84	7,40	82,60	1,5887
67	0067:11:53:42	134132148	2004-04-01 22.55.04	13,33	7,60	82,40	1,5898
68	0068:11:53:22	134220902	2004-04-02 23.34.18	13,82	7,81	82,19	1,5910
69	0069:11:53:00	134309655	2004-04-04 00.13.31	14,31	8,01	81,99	1,5921
70	0070:11:52:39	134398407	2004-04-05 00.52.45	14,81	8,22	81,78	1,5932
71	0071:11:52:18	134487161	2004-04-06 01.31.58	15,30	8,42	81,58	1,5943
72	0072:11:51:56	134575913	2004-04-07 02.11.11	15,78	8,62	81,38	1,5954
73	0073:11:51:34	134664666	2004-04-08 02.50.23	16,27	8,82	81,18	1,5965
