Sol	Hybrid Local Solar Time	SCLK	UTC	Solar longitude (deg)	Solar azimuth (deg)	Solar elevation (deg)	Sun distance (AU)
1	0001:12:09:17	126454028	2004-01-04 02.05.34	327,61	1,56	88,44	1,4783
2	0002:12:09:18	126542805	2004-01-05 02.45.11	328,18	1,77	88,23	1,4796
3	0003:12:09:19	126631580	2004-01-06 03.24.47	328,74	1,98	88,02	1,4809
4	0004:12:09:18	126720355	2004-01-07 04.04.21	329,31	2,19	87,81	1,4822
5	0005:12:09:18	126809131	2004-01-08 04.43.56	329,88	2,40	87,60	1,4836
6	0006:12:09:17	126897905	2004-01-09 05.23.31	330,44	2,62	87,38	1,4849
7	0007:12:09:16	126986679	2004-01-10 06.03.05	331,01	2,83	87,17	1,4862
8	0008:12:09:15	127075453	2004-01-11 06.42.38	331,57	3,05	86,95	1,4875
9	0009:12:09:13	127164226	2004-01-12 07.22.12	332,13	3,26	86,74	1,4889
10	0010:12:09:11	127252999	2004-01-13 08.01.45	332,69	3,48	86,52	1,4902
11	0011:12:09:07	127341765	2004-01-14 08.41.17	333,25	3,69	86,31	1,4915
12	0012:12:09:04	127430536	2004-01-15 09.20.48	333,81	3,91	86,09	1,4929
13	0013:12:09:00	127519307	2004-01-16 10.00.20	334,37	4,13	85,87	1,4942
14	0014:12:08:56	127608077	2004-01-17 10.39.51	334,93	4,35	85,65	1,4955
15	0015:12:08:51	127696846	2004-01-18 11.19.21	335,48	4,56	85,44	1,4969
16	0016:12:08:47	127785615	2004-01-19 11.58.52	336,04	4,78	85,22	1,4982
17	0017:12:08:41	127874384	2004-01-20 12.38.22	336,59	5,00	85,00	1,4995
18	0018:12:08:36	127963153	2004-01-21 13.17.51	337,14	5,22	84,78	1,5009
19	0019:12:08:30	128051921	2004-01-22 13.57.20	337,70	5,44	84,56	1,5022
20	0020:12:08:23	128140689	2004-01-23 14.36.49	338,25	5,66	84,34	1,5036
21	0021:12:08:17	128229456	2004-01-24 15.16.17	338,80	5,88	84,12	1,5049
22	0022:12:08:09	128318223	2004-01-25 15.55.45	339,35	6,10	83,90	1,5063
23	0023:12:08:02	128406989	2004-01-26 16.35.12	339,89	6,32	83,68	1,5076
24	0024:12:07:54	128495756	2004-01-27 17.14.40	340,44	6,54	83,46	1,5090
25	0025:12:07:46	128584521	2004-01-28 17.54.06	340,99	6,77	83,23	1,5103
26	0026:12:07:37	128673288	2004-01-29 18.33.33	341,53	6,99	83,01	1,5116
27	0027:12:07:28	128762053	2004-01-30 19.12.59	342,08	7,21	82,79	1,5130
28	0028:12:07:19	128850818	2004-01-31 19.52.24	342,62	7,43	82,57	1,5143
29	0029:12:07:09	128939582	2004-02-01 20.31.50	343,16	7,65	82,35	1,5157
30	0030:12:07:00	129028346	2004-02-02 21.11.15	343,70	7,88	82,12	1,5170
31	0031:12:06:49	129117113	2004-02-03 21.50.40	344,24	8,10	81,90	1,5184
32	0032:12:06:39	129205877	2004-02-04 22.30.04	344,78	8,32	81,68	1,5197
33	0033:12:06:28	129294640	2004-02-05 23.09.29	345,32	8,55	81,45	1,5210
34	0034:12:06:17	129383403	2004-02-06 23.48.52	345,86	8,77	81,23	1,5224
35	0035:12:06:05	129472166	2004-02-08 00.28.16	346,39	8,99	81,01	1,5237
36	0036:12:05:53	129560929	2004-02-09 01.07.38	346,93	9,21	80,79	1,5251
37	0037:12:05:41	129649691	2004-02-10 01.47.02	347,46	9,44	80,56	1,5264
38	0038:12:05:29	129738452	2004-02-11 02.26.24	348,00	9,66	80,34	1,5277
39	0039:12:05:17	129827214	2004-02-12 03.05.46	348,53	9,88	80,12	1,5291
40	0040:12:05:03	129915975	2004-02-13 03.45.08	349,06	10,11	79,89	1,5304
41	0041:12:04:51	130004737	2004-02-14 04.24.30	349,59	10,33	79,67	1,5317
42	0042:12:04:37	130093497	2004-02-15 05.03.52	350,12	10,55	79,45	1,5331
43	0043:12:04:23	130182257	2004-02-16 05.43.12	350,65	10,77	79,23	1,5344
44	0044:12:04:09	130271017	2004-02-17 06.22.34	351,18	11,00	79,00	1,5357
45	0045:12:03:55	130359778	2004-02-18 07.01.54	351,71	11,22	78,78	1,5370
46	0046:12:03:40	130448538	2004-02-19 07.41.14	352,23	11,44	78,56	1,5384
47	0047:12:03:26	130537297	2004-02-20 08.20.35	352,76	11,66	78,34	1,5397
48	0048:12:03:10	130626057	2004-02-21 08.59.54	353,28	11,88	78,12	1,5410
49	0049:12:02:55	130714816	2004-02-22 09.39.14	353,81	12,11	77,89	1,5423
50	0050:12:02:40	130803575	2004-02-23 10.18.33	354,33	12,33	77,67	1,5436
51	0051:12:02:24	130892334	2004-02-24 10.57.52	354,85	12,55	77,45	1,5449
52	0052:12:02:08	130981093	2004-02-25 11.37.11	355,37	12,77	77,23	1,5462
53	0053:12:01:52	131069850	2004-02-26 12.16.30	355,89	12,99	77,01	1,5475
54	0054:12:01:36	131158609	2004-02-27 12.55.48	356,41	13,21	76,79	1,5488
55	0055:12:01:19	131247367	2004-02-28 13.35.07	356,93	13,43	76,57	1,5501
56	0056:12:01:02	131336125	2004-02-29 14.14.24	357,45	13,65	76,35	1,5514
57	0057:12:00:45	131424882	2004-03-01 14.53.42	357,96	13,87	76,13	1,5527
58	0058:12:00:28	131513639	2004-03-02 15.33.00	358,48	14,09	75,91	1,5540
59	0059:12:00:11	131602396	2004-03-03 16.12.17	358,99	14,31	75,69	1,5553
60	0060:11:59:53	131691153	2004-03-04 16.51.34	359,51	14,53	75,47	1,5565
61	0061:11:59:36	131779909	2004-03-05 17.30.52	0,02	14,75	75,25	1,5578
62	0062:11:59:17	131868666	2004-03-06 18.10.08	0,53	14,97	75,03	1,5591
63	0063:11:59:00	131957422	2004-03-07 18.49.25	1,04	15,18	74,82	1,5604
64	0064:11:58:41	132046178	2004-03-08 19.28.41	1,56	15,40	74,60	1,5616
65	0065:11:58:23	132134934	2004-03-09 20.07.58	2,07	15,62	74,38	1,5629
66	0066:11:58:04	132223689	2004-03-10 20.47.14	2,58	15,83	74,17	1,5641
67	0067:11:57:45	132312446	2004-03-11 21.26.29	3,08	16,05	73,95	1,5654
68	0068:11:57:26	132401201	2004-03-12 22.05.45	3,59	16,27	73,73	1,5666
69	0069:11:57:07	132489956	2004-03-13 22.45.01	4,10	16,48	73,52	1,5679
70	0070:11:56:48	132578710	2004-03-14 23.24.16	4,60	16,70	73,30	1,5691
71	0071:11:56:28	132667466	2004-03-16 00.03.31	5,11	16,91	73,09	1,5703
72	0072:11:56:09	132756220	2004-03-17 00.42.47	5,61	17,12	72,88	1,5715
73	0073:11:55:49	132844975	2004-03-18 01.22.02	6,12	17,34	72,66	1,5728
74	0074:11:55:30	132933730	2004-03-19 02.01.17	6,62	17,55	72,45	1,5740
75	0075:11:55:09	133022484	2004-03-20 02.40.31	7,12	17,76	72,24	1,5752
76	0076:11:54:50	133111238	2004-03-21 03.19.47	7,62	17,97	72,03	1,5764
77	0077:11:54:29	133199993	2004-03-22 03.59.01	8,12	18,19	71,81	1,5776
78	0078:11:54:09	133288747	2004-03-23 04.38.15	8,62	18,40	71,60	1,5788
79	0079:11:53:48	133377500	2004-03-24 05.17.29	9,12	18,61	71,39	1,5800
80	0080:11:53:28	133466255	2004-03-25 05.56.43	9,62	18,82	71,18	1,5812
81	0081:11:53:08	133555013	2004-03-26 06.35.58	10,11	19,03	70,97	1,5823
82	0082:11:52:47	133643766	2004-03-27 07.15.12	10,61	19,23	70,77	1,5835
83	0083:11:52:26	133732521	2004-03-28 07.54.25	11,11	19,44	70,56	1,5847
84	0084:11:52:05	133821274	2004-03-29 08.33.39	11,60	19,65	70,35	1,5858
85	0085:11:51:45	133910028	2004-03-30 09.12.54	12,10	19,86	70,14	1,5870
86	0086:11:51:23	133998781	2004-03-31 09.52.07	12,59	20,06	69,94	1,5881
87	0087:11:51:02	134087534	2004-04-01 10.31.20	13,08	20,27	69,73	1,5893
88	0088:11:50:40	134176287	2004-04-02 11.10.33	13,58	20,47	69,53	1,5904
89	0089:11:50:20	134265041	2004-04-03 11.49.47	14,07	20,68	69,32	1,5915
90	0090:11:49:58	134353793	2004-04-04 12.29.01	14,56	20,88	69,12	1,5927
