ROVER MOTION COUNTER (partial)								
SITE	DRIVE	START_SOL	END_SOL	RAW_X	RAW_Y	RAW_Z	CORRECTED_X	CORRECTED_Y
0	0	1	1	0	-0,06	0	-1432,26	-863385,06
1	0	2	2	0	-0,06	0	-1432,26	-863385,06
2	0	2	2	0	-0,06	0	-1432,26	-863385,06
3	0	12	12	-2,902	1,002	0	-1434,63	-863383,48
4	0	37	39	15,868	2,969	0	-1416,71	-863382,66
5	0	39	40	35,656	14,168	0	-1395,91	-863371,98
6	0	43	43	44,74	26,027	0	-1386,03	-863359,89
7	0	43	44	50,863	31,896	0	-1379,43	-863353,94
8	0	44	45	62,803	49,982	0	-1367,45	-863337,18
9	0	45	46	76,262	65,357	0	-1353,44	-863322,47
10	0	50	51	85,838	76,337	0	-1343,82	-863311,98
11	0	51	52	102,549	97,246	0	-1327,41	-863292,03
12	0	61	62	125,129	124,289	0	-1304,82	-863267,42
13	0	62	63	141,642	139,925	0	-1288,16	-863253,31
14	0	63	64	168,593	161,374	0	-1262,05	-863234,23
15	0	64	65	186,381	174,323	0	-1246,24	-863223,18
16	0	65	66	207,556	195,587	0	-1229,29	-863207,49
17	0	66	67	217,752	211,092	0	-1220,99	-863194,43
18	0	67	70	227,936	214,272	0	-1211,24	-863191,63
19	0	71	72	228,556	196,214	0	-1210,9	-863209,05
20	0	72	73	229,956	197,369	0	-1209,18	-863208,04
21	0	74	75	253,763	177,277	0	-1186,81	-863227,8
22	0	75	76	275,896	175,431	0	-1166,15	-863231,9
23	0	87	88	266,167	158,578	0	-1177,15	-863246,4
24	0	88	89	259,389	142,91	0	-1183,57	-863260,51
25	0	89	90	287,263	116,331	0	-1157,87	-863286,98
26	0	90	91	302,922	110,274	0	-1142,99	-863293,18
27	0	91	93	304,726	109,112	0	-1141,5	-863294,46
28	0	100	101	362,495	79,753	0	-1085,68	-863325,1
29	0	101	103	422,872	35,781	0	-1026,32	-863369,79
30	0	103	105	467,94	-14,564	0	-983,76	-863420,36
31	0	105	107	506,162	-37,473	0	-948,12	-863442,28
32	0	107	108	571,387	-44,766	0	-883,52	-863450,48
33	0	108	109	588,737	-40,475	0	-865,55	-863446,5
34	0	109	109	641,906	-43,061	0	-813,6	-863451,31
35	0	110	111	707,732	-87,815	0	-747,62	-863496,84
36	0	111	112	755,171	-115,171	0	-703,23	-863523,53
37	0	112	113	811,238	-159,09	0	-649,01	-863567,11
38	0	116	117	894,913	-185,043	0	-566,48	-863593,52
39	0	117	118	930,786	-193,423	0	-531,73	-863602,2
40	0	118	120	1001,905	-243,026	0	-461,71	-863654,01
41	0	120	121	1011,38	-248,007	0	-456,95	-863659,24
42	0	121	121	1047,301	-330,853	0	-446,5	-863733,06
43	0	122	123	1100,416	-365,896	0	-376,29	-863785,56
44	2	123	123	1182,874	-404,421	0	-300,08	-863825,63
45	0	124	125	1245,455	-435,205	0	-239,31	-863856,45
